J1,J2,J3,J4,J5,J6,A1,A2,A3,A4,A5,A6,C,R
11,1,1,2,2,1,13,10,0,1,1,1,C1,G
5,4,4,4,4,0,0,6,2,7,6,6,C3,G
7,7,0,6,1,2,7,7,0,8,1,2,C4,P
4,4,4,4,4,4,4,0,5,5,5,5,C6,G
6,0,6,0,6,0,6,6,0,8,6,0,C1,P
6,6,6,5,0,1,6,6,6,5,0,1,C3,G
9,0,3,12,2,0,0,1,0,0,0,0,C4,G
7,1,1,6,1,1,1,1,0,12,9,8,C1,G
19,0,1,3,0,1,0,0,0,0,1,2,C6,G
4,4,4,4,4,0,0,6,6,6,5,5,C3,G
1,1,1,2,1,0,1,3,0,5,12,0,C2,P
11,4,0,1,4,1,1,1,1,0,1,1,C5,G
11,0,3,0,1,0,12,2,4,0,0,1,C5,P
8,7,1,6,0,3,7,7,7,0,1,1,C2,G
5,5,1,6,5,5,5,4,4,4,4,0,C1,P
16,0,0,0,0,5,6,1,3,0,3,4,C1,P
1,1,1,2,1,2,4,0,2,1,13,2,C2,P
7,6,1,6,6,0,0,0,0,9,8,1,C4,G
0,0,0,1,1,0,1,3,0,5,12,6,C5,P
4,4,4,4,4,4,4,4,4,4,4,4,C6,G
0,2,2,3,0,1,16,13,0,0,0,1,C4,G
1,3,0,5,12,6,0,0,0,1,0,1,C6,G
6,2,4,0,0,0,0,2,4,0,3,0,C3,G
7,2,4,1,4,5,0,2,2,2,2,7,C6,G
19,1,0,0,0,0,1,3,3,0,0,2,C2,P
0,1,0,0,0,0,9,9,4,0,10,2,C2,P
10,9,1,10,0,3,7,0,1,1,1,5,C2,G
5,5,4,4,4,4,4,4,4,0,5,5,C6,G
10,3,9,0,3,1,1,0,3,2,1,0,C6,G
12,10,10,0,0,1,9,0,2,0,0,0,C6,P
1,0,2,2,2,2,16,1,2,2,1,0,C6,P
0,0,0,12,9,8,0,2,2,7,2,2,C4,P
5,5,5,5,4,0,5,5,5,5,4,0,C5,G
4,4,4,4,4,4,4,4,4,4,4,4,C4,P
7,7,0,0,0,4,9,8,0,10,0,3,C2,P
15,0,0,0,1,0,15,2,0,0,0,1,C5,P
0,0,3,8,7,0,7,6,1,6,6,0,C3,P
9,8,2,2,9,1,1,3,0,3,0,2,C6,G
14,0,2,5,4,3,4,6,0,2,1,2,C4,P
4,0,2,0,14,2,1,0,2,0,2,3,C5,G
19,0,0,1,0,0,1,0,4,1,0,3,C4,P
21,1,0,1,1,1,0,0,0,0,0,0,C1,G
19,0,0,0,1,0,1,0,4,0,1,3,C5,P
0,0,0,0,1,0,20,1,1,0,1,1,C5,P
1,10,4,3,10,1,1,1,2,0,2,3,C6,G
9,8,2,2,9,0,0,0,1,4,1,2,C1,G
6,0,1,4,0,0,0,0,12,10,8,7,C3,G
4,4,4,4,4,4,4,4,4,4,4,4,C6,G
1,2,1,1,1,1,10,1,4,0,4,1,C2,P
11,10,5,0,0,3,1,1,2,1,1,0,C6,G
0,2,0,3,9,1,8,7,1,1,8,0,C5,P
1,6,6,6,5,4,4,4,4,4,4,0,C2,P
8,7,1,1,8,1,1,2,0,3,9,1,C6,G
2,11,0,4,11,1,0,1,2,0,2,0,C6,G
1,3,0,5,12,0,1,0,2,2,1,0,C4,G
14,0,0,1,1,0,14,2,0,1,0,1,C5,P
6,6,6,5,4,0,5,5,5,5,0,1,C5,P
9,9,4,3,9,1,1,1,0,0,0,0,C4,G
19,1,0,0,0,1,0,3,3,0,1,1,C6,P
5,1,0,3,9,0,0,0,10,8,6,6,C5,G
1,8,7,6,5,5,4,4,0,0,6,2,C1,P
10,10,10,1,0,0,9,0,2,0,2,0,C4,P
0,0,0,0,0,11,0,1,6,10,1,3,C6,P
5,7,1,2,1,2,14,0,2,0,5,4,C2,G
5,5,4,4,4,0,0,6,6,2,6,6,C2,G
9,0,2,7,1,4,8,8,8,0,1,0,C4,G
5,5,5,5,0,5,5,5,5,4,4,0,C6,P
9,9,9,1,0,0,9,0,2,0,2,5,C4,P
1,1,1,9,7,6,6,6,1,0,6,2,C4,P
0,0,3,2,1,0,10,3,9,0,3,0,C3,P
2,11,5,3,10,0,0,1,2,0,2,0,C3,G
9,1,2,1,1,1,12,2,4,0,3,6,C4,P
1,0,0,0,0,7,7,2,4,1,4,0,C1,P
4,4,4,4,4,0,0,6,6,6,5,5,C3,G
3,3,6,1,1,5,0,2,2,2,2,2,C6,G
12,2,4,0,0,1,11,0,3,0,0,1,C6,G
5,5,0,5,5,1,1,0,7,7,6,6,C6,G
15,2,0,0,0,1,15,0,0,0,0,1,C2,G
6,1,3,4,2,3,15,1,0,0,0,5,C4,G
4,6,3,1,0,1,14,0,2,5,4,3,C3,G
7,7,0,0,2,3,8,8,1,9,0,3,C5,P
10,0,2,11,1,4,8,0,1,0,0,5,C5,G
19,0,0,0,0,1,0,1,4,0,1,3,C6,P
8,0,2,7,1,4,8,8,8,0,0,2,C4,G
5,5,5,1,5,5,5,5,4,4,4,0,C1,P
2,0,5,10,1,3,0,0,0,0,0,11,C1,G
0,0,12,10,8,7,6,0,0,5,0,0,C3,P
0,0,0,0,0,8,8,8,3,2,8,0,C6,P
1,3,3,8,3,3,1,1,1,0,11,9,C6,G
10,1,4,0,4,1,1,0,2,2,1,1,C1,G
1,1,8,4,0,8,7,0,6,6,0,1,C3,P
7,2,0,1,1,1,1,2,0,1,4,1,C1,G
4,4,0,0,6,0,0,11,7,6,5,5,C2,G
10,10,1,0,1,4,0,2,2,3,5,7,C5,P
7,7,6,1,0,1,7,1,0,7,7,2,C3,P
3,12,0,0,12,1,0,0,0,1,0,1,C2,G
17,0,0,3,2,0,1,0,0,3,3,0,C5,G
1,1,2,0,2,0,2,11,0,4,11,0,C3,P
9,1,1,2,4,6,9,9,0,2,1,4,C1,G
4,0,2,1,13,2,1,0,2,2,1,2,C4,G
1,6,6,6,5,5,4,4,0,5,5,1,C1,P
6,6,1,6,5,1,0,0,0,8,7,6,C4,G
1,1,1,2,1,0,11,0,6,1,1,1,C4,P
0,3,0,3,0,2,9,8,2,2,9,0,C2,P
0,0,0,3,0,1,18,0,1,3,0,1,C4,P
1,0,2,0,2,0,2,11,0,4,11,1,C1,P
5,1,2,2,8,0,0,2,9,7,6,6,C3,G
15,2,0,1,0,0,15,0,0,1,0,0,C4,G
6,0,6,0,6,6,5,5,0,6,5,1,C6,P
8,1,6,3,5,0,0,0,1,0,0,0,C3,G
14,0,0,1,1,1,13,2,0,1,1,0,C6,P
1,0,0,0,0,0,9,0,3,12,2,0,C1,P
9,9,2,11,1,4,3,2,2,2,1,0,C2,G
0,0,0,0,11,9,1,3,3,8,3,0,C5,P
1,3,6,4,11,5,2,2,1,1,1,0,C3,G
11,10,5,0,0,0,0,0,0,1,0,1,C2,G
0,1,0,0,0,0,8,1,6,3,5,0,C2,P
7,7,7,5,0,1,6,6,0,6,1,2,C6,P
11,1,3,12,1,5,8,0,1,0,0,0,C4,G
6,1,6,6,6,1,1,6,6,2,0,7,C6,G
1,10,7,6,5,5,4,4,0,0,6,0,C1,P
4,4,4,4,4,4,4,4,4,4,4,4,C5,P
1,2,11,9,7,7,6,2,0,3,0,0,C1,P
2,3,1,0,5,6,0,2,1,1,1,2,C6,G
1,3,3,0,1,1,19,1,0,0,0,0,C5,G
7,7,1,8,6,1,0,0,0,0,8,8,C3,G
4,4,4,4,4,4,4,4,4,4,4,4,C3,P
0,0,0,3,3,0,17,0,0,3,0,1,C5,P
5,5,4,4,4,0,1,0,7,7,6,5,C3,G
4,4,4,4,4,4,4,4,4,4,4,4,C6,G
15,0,0,0,0,1,15,0,1,1,0,1,C1,P
6,2,0,3,0,1,0,2,11,9,7,7,C6,G
0,2,2,3,3,0,15,12,0,0,1,0,C5,G
10,2,3,1,0,0,12,2,4,0,3,0,C4,P
7,2,4,1,4,0,0,1,0,0,0,7,C2,G
20,1,1,3,0,0,1,0,0,0,1,0,C4,G
0,0,0,0,8,7,7,7,2,1,7,0,C5,P
5,5,5,5,4,0,5,5,5,5,4,0,C5,G
8,1,6,3,5,1,1,1,0,0,0,0,C6,G
7,7,7,5,0,1,6,6,0,6,1,2,C6,P
7,7,1,7,1,2,7,7,0,6,1,2,C3,G
2,1,0,2,1,0,1,3,0,0,13,1,C2,P
12,2,4,0,3,6,9,1,2,0,2,1,C6,G
9,1,4,3,10,4,1,1,0,0,1,3,C1,G
5,5,5,5,4,0,5,5,5,5,4,0,C5,G
1,0,4,1,1,2,19,0,0,1,0,0,C5,G
10,0,2,0,0,0,12,10,10,0,0,0,C3,G
7,6,0,6,1,2,7,7,7,5,0,0,C5,G
15,12,0,1,0,0,0,2,2,3,3,0,C4,P
2,4,4,9,0,2,0,0,0,0,1,10,C2,G
6,6,1,7,6,0,6,0,6,0,6,0,C3,G
0,0,0,1,0,10,2,4,4,9,0,2,C4,P
9,0,3,12,2,5,0,1,1,1,1,0,C6,G
12,10,10,0,0,0,10,0,0,1,1,0,C3,P
4,4,4,4,4,4,4,4,4,4,4,4,C1,P
0,0,0,10,0,2,8,0,3,2,9,3,C4,P
0,1,0,0,0,7,7,0,5,2,4,0,C6,P
8,8,1,0,0,0,8,2,1,7,0,3,C2,P
9,9,9,1,1,2,8,0,2,0,2,5,C5,P
7,7,2,1,7,3,2,1,1,0,8,7,C6,G
8,8,1,10,7,2,1,0,0,0,0,9,C5,G
0,1,2,0,2,3,1,10,4,3,10,0,C6,P
6,6,6,5,4,0,5,5,5,5,0,1,C5,P
19,0,0,0,0,0,1,1,4,0,0,4,C1,P
6,2,0,3,0,0,0,3,11,9,7,7,C2,G
11,11,0,0,0,0,1,3,1,0,8,8,C2,P
0,0,0,1,3,0,2,11,0,0,12,1,C5,P
6,6,6,5,4,0,5,5,5,5,0,1,C5,P
1,2,7,11,2,4,1,1,1,1,1,0,C3,G
9,9,9,1,0,3,8,0,0,1,3,5,C3,P
5,5,5,5,4,4,4,4,4,4,4,0,C6,P
8,7,1,6,0,3,7,7,7,0,1,1,C2,G
5,5,5,4,4,4,4,4,4,4,0,5,C6,G
16,1,2,2,1,2,0,2,2,2,2,2,C6,G
3,5,3,1,9,0,13,1,0,3,3,2,C5,G
10,10,1,0,0,5,0,2,0,4,6,7,C6,P
2,11,0,4,11,0,1,1,0,1,3,0,C4,G
4,0,0,0,0,0,9,0,3,12,2,5,C1,P
9,0,2,0,0,1,11,10,10,0,0,1,C6,G
1,3,2,1,0,0,10,3,9,0,3,1,C2,P
8,8,8,0,1,1,8,0,2,7,1,4,C5,P
19,1,0,0,1,1,2,3,3,1,1,0,C6,P
15,0,0,1,0,1,14,2,0,1,0,0,C6,P
1,0,2,2,1,2,4,0,2,0,14,2,C4,P
4,4,4,4,4,4,4,4,4,4,4,4,C6,G
15,1,0,0,5,4,5,0,2,3,2,3,C5,P
6,6,6,5,0,1,6,6,6,5,0,1,C3,G
1,1,1,4,0,0,10,3,0,1,4,1,C4,P
5,4,4,4,4,4,4,4,0,5,5,5,C6,G
1,1,2,5,1,2,0,9,3,3,10,1,C4,P
14,2,0,1,1,0,14,0,0,1,1,0,C5,G
5,1,6,6,5,5,4,4,4,4,4,0,C4,P
1,3,0,0,13,1,2,0,1,2,1,0,C6,G
0,2,2,3,5,7,10,10,1,0,0,5,C3,G
16,13,0,0,1,0,0,2,2,3,0,1,C5,P
12,0,3,0,0,1,12,2,4,0,0,0,C6,P
0,2,2,3,3,2,14,11,0,1,0,0,C6,G
4,4,4,4,4,4,4,4,4,4,4,4,C6,G
9,2,8,8,2,1,1,2,1,5,1,0,C6,G
4,4,0,0,6,2,0,9,7,6,5,5,C6,G
0,0,7,7,6,6,5,5,0,5,5,0,C3,P
1,3,1,5,7,7,10,10,1,0,0,0,C4,G
6,5,0,5,5,1,1,0,3,8,7,7,C6,G
10,4,3,1,1,4,0,2,1,1,1,1,C1,G
1,1,4,0,3,0,6,2,4,0,0,0,C1,P
9,0,2,0,2,5,9,9,9,0,1,0,C6,G
7,0,6,6,6,0,0,0,7,3,1,8,C5,G
7,7,7,5,0,0,7,6,0,6,0,3,C4,P
15,2,0,0,1,0,15,0,0,0,1,0,C5,G
8,0,2,0,2,5,9,9,9,1,0,3,C3,G
14,2,1,4,4,3,4,6,3,1,0,1,C2,P
0,0,0,0,8,8,7,7,0,9,6,1,C5,P
2,4,2,1,9,9,12,0,1,1,1,1,C6,G
